,Rainfall (mm),Temperature (°C),Humidity (%),Flood Occurred,Risk_encoded
0,218.99949329699112,34.144337051165216,43.91296329635332,1,4
1,55.35359867961347,28.778773606025798,27.58542201296464,0,2
2,103.99190831096584,43.934955745918224,30.10873799777728,1,3
3,198.98419105734547,21.569353529527145,34.45369025447374,0,4
4,144.626803357344,32.63569247996822,36.29226674919587,0,4
5,221.57131159046816,36.00630044970668,39.38094473684352,1,4
6,288.362370366858,39.766934680361445,40.436802317079554,1,4
7,34.96400631455925,27.20913091284021,56.45730763900288,1,1
8,212.8703149194183,35.607657229724445,60.7658552660833,0,4
9,69.10324668963436,24.096044141528484,44.71033665010848,0,3
10,124.34301822227076,28.06428277085461,92.58371359365826,1,3
11,9.858817738541948,41.86881393610197,64.25117786711637,1,1
12,40.77221468780968,43.49722827992863,82.99815424267254,0,2
13,95.9331867146699,36.56452040781794,93.93902659366746,0,3
14,102.59574158639548,26.230556723285552,33.05080916606442,0,3
15,269.8755649386287,39.60173369923992,54.229958697250765,1,4
16,222.5438727799545,15.776012451762606,54.65683213716871,0,4
17,291.6548904561123,18.082377316182637,48.35778003506833,1,4
18,179.72145310057215,34.84121209126083,20.712469324131195,1,4
19,72.51411962739539,23.73745725810172,85.2777686222476,0,3
20,98.29650897649286,43.54158655201434,28.924745724312224,1,3
21,95.95077698759012,28.08181836276914,99.63844783374071,0,3
22,97.94829829897547,27.88094461167531,81.83667935289452,0,3
23,201.8892519335447,35.34238530572794,66.40080140852116,0,4
24,159.24237842712486,38.027056869185685,32.3685134193278,0,4
25,115.62725342599327,29.266762143754093,61.23143771145976,1,3
26,44.72693061861498,21.420027051351724,40.88869926862471,0,2
27,6.641748882643772,38.19925928176865,40.18580196344556,0,0
28,65.65040327630778,24.610538246208822,86.36233995059884,0,3
29,32.24142119060438,20.25332307881573,50.451553916754776,1,1
30,235.6335092556718,33.9492056977504,56.05790427126433,1,4
31,33.74938734416561,17.71361000971051,87.43717902240947,1,1
32,217.26847119205084,44.14058025258165,27.023250057507404,0,4
33,115.6976069328248,33.97191793236411,67.56942824728397,1,3
34,22.01351692313279,44.57686562765267,66.25725450984302,1,1
35,243.8190148294757,25.16680270435908,54.017165541334016,0,4
36,173.889171070984,44.136154835711935,86.38197131392744,1,4
37,70.72845385907192,19.366867431858708,95.4312049068554,1,3
38,268.4043522998004,16.220843170410852,57.22686895308886,1,4
39,13.577494161165438,15.989521813638078,56.49176407987198,0,1
40,60.54588245932887,28.94611111797681,60.16509837365958,1,2
41,225.6140783417583,17.490125924357844,77.84992246664493,0,4
42,212.8133790929668,30.365036525028053,73.44482325591699,0,4
43,86.7815081173434,24.825015105267013,37.826795936550965,0,3
44,18.607462605834936,25.06886977422347,25.111627887947463,0,1
45,257.4234216674831,34.06826989635509,95.94033038534316,0,4
46,94.10929142097078,19.892940184548607,40.88558077869634,0,3
47,58.714024478479566,37.99660111019193,71.08773477524734,1,2
48,154.81854670829313,32.460927593359045,86.27504021949778,0,4
49,273.0681597847342,42.44833886542533,44.0221400437749,0,4
50,13.063973353012605,25.9452196130257,70.8346730925543,0,1
51,229.74122640926632,44.48144976201377,28.632019291937997,1,4
52,171.74196838161268,32.274829401420696,97.59451555005286,0,4
53,127.63473496554508,44.202058685626014,24.65266200405007,0,4
54,223.224133231518,15.81181962141346,55.053973907278106,0,4
55,289.7473273324897,36.83928967237164,62.94553936480186,1,4
56,68.76186334880731,39.49864572878209,83.23854229306912,0,3
57,43.09420952163588,16.595198600294626,29.690281365793695,0,2
58,273.8645235668091,32.36908992048737,55.26463790841412,1,4
59,200.6859232371911,39.05826880768345,43.976925563476186,1,4
60,131.3958064685898,31.831161756692183,44.9608572554672,1,4
61,171.97787107928494,16.914407712164,82.30303328522007,1,4
62,223.6841715528732,35.80341722694934,20.43687560254665,1,4
63,231.9095696117152,16.81790744019926,79.9266913068773,1,4
64,275.96825424568937,39.52406685049316,84.8318744098485,1,4
65,128.0528366686868,16.29102549920083,92.10897950736552,0,4
66,88.02327300581851,19.12192143031113,70.15054425843869,1,3
67,191.89928003695255,23.253227715698053,46.6764262617793,1,4
68,124.7183697838591,34.000943767824,54.178778603909656,0,4
69,178.37953618469336,44.29077298893918,97.57888658299434,0,4
70,125.99573953678504,18.534685578598037,90.49494611486818,1,4
71,45.89873600345234,19.28123007641755,57.08207272795536,1,2
72,140.82802549768752,26.06611190102941,95.4450405688738,1,4
73,207.27534658230985,40.08657413265961,85.83639003251672,0,4
74,239.78514230029492,29.016928582524425,92.08718893278358,1,4
75,147.99788303896406,24.64831800767465,74.63817876607368,1,4
76,49.57136706312028,31.83611496626584,88.6123234769596,0,2
77,124.40631289482948,22.815695923372505,91.34129130674606,0,4
78,235.88817865250948,27.034797217425627,27.361326763253714,1,4
79,123.85778118512184,24.978154476961254,97.21735813285268,1,3
80,208.9592380812667,39.12423067243938,46.689047901125065,1,4
81,152.16410450342693,42.727671793140026,55.19196076666844,0,4
82,72.36693753281901,37.78716576470735,83.35230073542522,1,3
83,238.8451524069223,28.172507280899502,73.19170444579981,1,4
84,25.26403622120611,30.130049324899915,91.44479299488458,1,1
85,157.46708482654518,18.75221081788307,52.04590006214177,1,4
86,62.667310273021485,37.40594133403613,49.863053094092685,1,2
87,20.119688562412698,32.89427038185132,22.53510796330557,0,1
88,150.88018112497463,42.07319988412309,57.01803013357264,1,4
89,149.86864678047706,21.0183343072546,77.92566162632869,1,4
90,212.07027050271623,37.79178365797837,44.09429741009728,1,4
91,223.42520791557143,35.54014985157569,57.01812109390731,0,4
